Cr,Mo,Nb,Ta,V,W,FCC_L12,BCC_B2
0.05,0.3,0.05,0.2,0.15,0.25,0,0.92906312
0.05,0.25,0.2,0.2,0.1,0.2,0,0.9290478
0.05,0.25,0.3,0.05,0.1,0.25,0,0.92897863
0.05,0.05,0.2,0.3,0.25,0.15,0,0.92893701
0.05,0.15,0.15,0.35,0.15,0.15,0,0.92890053
0.05,0.3,0.25,0.05,0.1,0.25,0,0.92885586
0.05,0.25,0.2,0.3,0.05,0.15,0,0.92878675
0.05,0.3,0.25,0.2,0.05,0.15,0,0.92875212
0.05,0.2,0.1,0.1,0.2,0.35,0,0.92874608
0.05,0.1,0.3,0.2,0.1,0.25,0,0.9286137
0.05,0.15,0.2,0.35,0.05,0.2,0,0.92859682
0.05,0.15,0.3,0.3,0.1,0.1,0,0.92858284
0.05,0.15,0.15,0.1,0.2,0.35,0,0.92857723
0.05,0.2,0.2,0.35,0.1,0.1,0,0.92848506
0.05,0.2,0.15,0.3,0.1,0.2,0,0.92846328
0.05,0.2,0.1,0.25,0.15,0.25,0,0.92843054
0.05,0.25,0.15,0.35,0.05,0.15,0,0.9284162
0.05,0.05,0.2,0.25,0.15,0.3,0,0.92841583
0.05,0.1,0.25,0.15,0.15,0.3,0,0.92838596
0.05,0.1,0.35,0.3,0.1,0.1,0,0.92834442
0.05,0.15,0.25,0.1,0.15,0.3,0,0.92832865
0.05,0.05,0.3,0.35,0.1,0.15,0,0.92832275
0.05,0.1,0.25,0.35,0.1,0.15,0,0.92803666
0.05,0.3,0.1,0.1,0.15,0.3,0,0.92799784
0.05,0.1,0.25,0.3,0.15,0.15,0,0.9279267
0.05,0.3,0.15,0.2,0.1,0.2,0,0.92790481
0.05,0.2,0.15,0.35,0.15,0.1,0,0.92784907
0.05,0.35,0.2,0.2,0.05,0.15,0,0.92779169
0.05,0.15,0.05,0.35,0.15,0.25,0,0.92777947
0.05,0.35,0.1,0.2,0.1,0.2,0,0.92768562
0.05,0.05,0.15,0.2,0.2,0.35,0,0.92760493
0.05,0.3,0.2,0.25,0.05,0.15,0,0.92759272
0.05,0.25,0.15,0.25,0.1,0.2,0,0.92753351
0.05,0.3,0.1,0.05,0.15,0.35,0,0.92749205
0.05,0.2,0.1,0.35,0.1,0.2,0,0.92739303
0.05,0.05,0.35,0.35,0.1,0.1,0,0.9273678
0.05,0.3,0.35,0.05,0.05,0.2,0,0.92719061
0.05,0.25,0.05,0.25,0.15,0.25,0,0.92718583
0.05,0.25,0.2,0.35,0.1,0.05,0,0.92715606
0.05,0.1,0.25,0.25,0.1,0.25,0,0.92715386
0.05,0.1,0.15,0.15,0.2,0.35,0,0.92714109
0.05,0.35,0.3,0.05,0.05,0.2,0,0.92698776
0.05,0.2,0.2,0.1,0.15,0.3,0,0.9269481
0.05,0.05,0.15,0.3,0.15,0.3,0,0.9269055
0.05,0.15,0.3,0.15,0.1,0.25,0,0.92684459
0.05,0.2,0.05,0.3,0.15,0.25,0,0.92684286
0.05,0.25,0.15,0.1,0.15,0.3,0,0.92683357
0.05,0.05,0.2,0.35,0.15,0.2,0,0.92666851
0.05,0.3,0.15,0.3,0.05,0.15,0,0.92664506
0.05,0.2,0.3,0.1,0.1,0.25,0,0.92664501
0.05,0.05,0.3,0.3,0.15,0.15,0,0.92660952
0.05,0.05,0.15,0.35,0.2,0.2,0,0.92656354
0.05,0.35,0.15,0.25,0.05,0.15,0,0.92649761
0.05,0.1,0.3,0.05,0.15,0.35,0,0.9264426
0.05,0.1,0.2,0.2,0.15,0.3,0,0.92639933
0.05,0.2,0.3,0.3,0.1,0.05,0,0.92632939
0.05,0.3,0.1,0.25,0.1,0.2,0,0.92627595
0.05,0.25,0.1,0.3,0.1,0.2,0,0.92624671
0.05,0.15,0.25,0.3,0.15,0.1,0,0.92610071
0.05,0.05,0.25,0.3,0.2,0.15,0,0.92605454
0.05,0.15,0.25,0.35,0.1,0.1,0,0.92599721
0.05,0.05,0.35,0.15,0.1,0.3,0,0.92595232
0.05,0.1,0.2,0.3,0.1,0.25,0,0.92595149
0.05,0.2,0.05,0.15,0.2,0.35,0,0.92592447
0.05,0.15,0.1,0.15,0.2,0.35,0,0.92589198
0.05,0.35,0.05,0.25,0.1,0.2,0,0.92584272
0.05,0.3,0.1,0.35,0.05,0.15,0,0.92583847
0.05,0.05,0.1,0.25,0.2,0.35,0,0.92580745
0.05,0.15,0.2,0.15,0.15,0.3,0,0.92579491
0.05,0.05,0.3,0.1,0.15,0.35,0,0.92577119
0.05,0.35,0.15,0.1,0.1,0.25,0,0.92574626
0.05,0.2,0.35,0.15,0.05,0.2,0,0.92560007
0.05,0.05,0.1,0.35,0.15,0.3,0,0.92556061
0.05,0.1,0.3,0.35,0.1,0.1,0,0.92546758
0.05,0.35,0.1,0.3,0.05,0.15,0,0.92540215
0.05,0.25,0.35,0.1,0.05,0.2,0,0.92529908
0.05,0.25,0.25,0.1,0.1,0.25,0,0.92526611
0.05,0.15,0.25,0.2,0.1,0.25,0,0.92514179
