Mo,Nb,Ta,V,W,FCC_L12,BCC_B2
0.1,0.3,0.1,0.25,0.25,0,0.56034446
0.3,0.05,0.2,0.35,0.1,0,0.56025143
0.1,0.15,0.25,0.35,0.15,0,0.56002149
0.1,0.35,0.1,0.35,0.1,0,0.5592361
0.05,0.2,0.2,0.35,0.2,0,0.55880612
0.25,0.05,0.2,0.2,0.3,0,0.5584637
0.2,0.1,0.1,0.25,0.35,0,0.55808569
0.3,0.1,0.15,0.3,0.15,0,0.55774427
0.3,0.15,0.05,0.2,0.3,0,0.55755721
0.2,0.2,0.15,0.35,0.1,0,0.55735091
0.25,0.15,0.15,0.35,0.1,0,0.55714307
0.3,0.1,0.15,0.35,0.1,0,0.55659857
0.1,0.1,0.2,0.35,0.25,0,0.55637849
0.25,0.2,0.1,0.35,0.1,0,0.55475136
0.15,0.3,0.1,0.35,0.1,0,0.55470607
0.2,0.25,0.1,0.35,0.1,0,0.55458085
0.35,0.05,0.15,0.35,0.1,0,0.55447696
0.15,0.2,0.15,0.25,0.25,0,0.55409684
0.3,0.15,0.1,0.35,0.1,0,0.55376692
0.2,0.3,0.05,0.35,0.1,0,0.55275226
0.1,0.2,0.1,0.25,0.35,0,0.55192638
0.3,0.05,0.1,0.35,0.2,0,0.55178708
0.35,0.15,0.05,0.3,0.15,0,0.55151483
0.15,0.25,0.1,0.25,0.25,0,0.55145232
0.15,0.35,0.05,0.35,0.1,0,0.55142862
0.15,0.3,0.05,0.25,0.25,0,0.55105433
0.35,0.1,0.1,0.35,0.1,0,0.55075916
0.15,0.1,0.15,0.25,0.35,0,0.55056895
0.2,0.05,0.25,0.25,0.25,0,0.55005293
0.15,0.15,0.1,0.25,0.35,0,0.54949556
0.35,0.15,0.05,0.35,0.1,0,0.54712922
0.15,0.05,0.3,0.35,0.15,0,0.54632882
0.1,0.05,0.3,0.35,0.2,0,0.54562305
0.1,0.15,0.15,0.25,0.35,0,0.54517942
0.15,0.25,0.05,0.2,0.35,0,0.54401024
0.2,0.1,0.2,0.25,0.25,0,0.54386436
0.2,0.2,0.1,0.25,0.25,0,0.54338212
0.3,0.05,0.15,0.2,0.3,0,0.54318285
0.05,0.35,0.1,0.35,0.15,0,0.54248286
0.15,0.05,0.2,0.25,0.35,0,0.54078824
0.1,0.3,0.05,0.2,0.35,0,0.53862689
0.15,0.2,0.1,0.35,0.2,0,0.53752737
0.05,0.35,0.05,0.35,0.2,0,0.53676506
